"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2015,"Amarante","PI","Sociedade de economia mista com administracao publica",10340,NA,8863,743.77,511.95,359.7,NA,NA,NA,1552011.64,1552011.64,NA,1406489.59,164070.44,0,NA,355125.65,NA,NA,NA,0,NA,0
2014,"Eliseu Martins","PI","Sociedade de economia mista com administracao publica",3785,NA,3924,398.93,201.66,253.39,NA,NA,NA,549754.78,549754.78,NA,544570.58,68931.59,0,NA,0,NA,NA,NA,0,NA,0
2015,"Guaribas","PI","Sociedade de economia mista com administracao publica",2340,NA,1297,136.2,88.85,249.22,NA,NA,NA,223997.53,223997.53,NA,189140.78,148186.75,0,NA,0,NA,NA,NA,0,NA,0
2014,"Itainópolis","PI","Sociedade de economia mista com administracao publica",2499,NA,2580,275.94,187.15,71.76,NA,NA,NA,518974.97,518974.97,NA,582623.94,32216.74,0,NA,0,NA,NA,NA,0,NA,0
2015,"Luís Correia","PI","Sociedade de economia mista com administracao publica",21939,NA,13158,1257.95,890.22,774.3,NA,NA,NA,2670930.09,2670930.09,NA,3200986.05,350987.18,0,NA,0,NA,NA,NA,0,NA,0
2014,"Nazária","PI","Sociedade de economia mista com administracao publica",1684,NA,1706,219.8,103.68,117.31,NA,NA,NA,157737.66,157737.66,NA,253853.68,54888.59,0,NA,0,NA,NA,NA,0,NA,0
2015,"Novo Oriente do Piauí","PI","Sociedade de economia mista com administracao publica",4179,NA,3272,270.17,204.9,152.42,NA,NA,NA,586563.99,586563.99,NA,612560.09,90130.54,0,NA,0,NA,NA,NA,0,NA,0
2014,"Novo Oriente do Piauí","PI","Sociedade de economia mista com administracao publica",3267,NA,3277,301.13,199.17,142.98,NA,NA,NA,547146.19,547146.19,NA,609116.78,63541.91,0,NA,0,NA,NA,NA,0,NA,0
2015,"Piracuruca","PI","Sociedade de economia mista com administracao publica",24795,NA,19671,1124.89,1078.21,729.28,NA,NA,NA,2980344.52,2980344.52,NA,2779074.26,318604.06,0,NA,228945.27,NA,NA,NA,0,NA,0
2015,"Prata do Piauí","PI","Sociedade de economia mista com administracao publica",2775,NA,2569,122.84,126.16,66.63,NA,NA,NA,346290.1,346290.1,NA,327028.52,39288.52,0,NA,0,NA,NA,NA,0,NA,0
2014,"Riacho Frio","PI","Sociedade de economia mista com administracao publica",2202,NA,2229,147.97,115.14,56.12,NA,NA,NA,293664.94,293664.94,NA,324503.84,24712.85,0,NA,0,NA,NA,NA,0,NA,0
2014,"Wall Ferraz","PI","Sociedade de economia mista com administracao publica",1173,NA,1189,118.26,74.21,56.43,NA,NA,NA,186004.31,186004.31,NA,194143.53,27982.27,0,NA,0,NA,NA,NA,0,NA,0
2017,"Antônio Cardoso","BA","Sociedade de economia mista com administracao publica",5049,NA,3408,182.35,183.13,484.36,NA,NA,NA,760195.18,760195.18,NA,738474.25,155937.11,700279.51,NA,804119.86,NA,NA,NA,0,NA,0
2020,"Arataca","BA","Sociedade de economia mista com administracao publica",5894,NA,5894,202.28,199.42,88.35,NA,NA,NA,957687.88,957687.88,NA,914777.31,29591.92,19328.53,NA,34400.24,NA,NA,NA,NA,NA,NA
2017,"Cordeiros","BA","Sociedade de economia mista com administracao publica",5192,NA,2781,240.25,212.67,13.24,NA,NA,NA,791066.5,791066.5,NA,805382.05,57366.19,0,NA,0,NA,NA,NA,0,NA,0
2017,"Guaratinga","BA","Sociedade de economia mista com administracao publica",10066,NA,10420,362.53,443.89,186.94,NA,NA,NA,1708066.68,1708066.68,NA,1776216.54,53523.43,8314,NA,9546.84,NA,NA,NA,0,NA,0
2018,"Irajuba","BA","Sociedade de economia mista com administracao publica",4171,NA,3386,0,128.12,0,NA,NA,NA,568079.35,568079.35,NA,599698.71,259184.54,0,NA,0,NA,NA,NA,0,NA,0
2020,"Itaeté","BA","Sociedade de economia mista com administracao publica",8570,NA,6702,336.63,325.32,864.92,NA,NA,NA,1676457.69,1676457.69,NA,1654185.57,194640.17,56331.69,NA,79486.41,NA,NA,NA,NA,NA,NA
2019,"Itaguaçu da Bahia","BA","Sociedade de economia mista com administracao publica",6152,NA,2838,310.66,230.89,680.22,NA,NA,NA,1055074.64,1055074.64,NA,1039354.04,475997.69,0,NA,0,NA,NA,NA,NA,NA,NA
2020,"Itamari","BA","Sociedade de economia mista com administracao publica",5855,NA,5913,235.94,195.78,526.06,NA,NA,NA,962578.12,962578.12,NA,912519.13,164262.8,30928.04,NA,47184.22,NA,NA,NA,NA,NA,NA
2019,"Macajuba","BA","Sociedade de economia mista com administracao publica",8447,NA,6944,418.67,317.4,753.42,NA,NA,NA,1385500.57,1385500.57,NA,1370108.76,352453.38,0,NA,2993192.46,NA,NA,NA,NA,NA,NA
2020,"Maetinga","BA","Sociedade de economia mista com administracao publica",2764,NA,1106,295.76,182.63,506.15,NA,NA,NA,867849.79,867849.79,NA,913357.97,249963.13,57907.06,NA,70118.63,NA,NA,NA,NA,NA,NA
2019,"Maetinga","BA","Sociedade de economia mista com administracao publica",3161,NA,1265,258.72,175.14,428.06,NA,NA,NA,866463.74,866463.74,NA,843562.11,199940.85,0,NA,0,NA,NA,NA,NA,NA,NA
2019,"Olindina","BA","Sociedade de economia mista com administracao publica",14256,NA,14456,899.85,553.77,507.73,NA,NA,NA,2807187.42,2807187.42,NA,2842900.42,166117.36,0,NA,0,NA,NA,NA,NA,NA,NA
2020,"Paramirim","BA","Sociedade de economia mista com administracao publica",17004,NA,10360,1082.29,867.11,1193.38,NA,NA,NA,4592314.14,4592314.14,NA,4530445.32,400296.09,159545.63,NA,214867.64,NA,NA,NA,NA,NA,NA
2020,"Paripiranga","BA","Sociedade de economia mista com administracao publica",20418,NA,9972,1390.63,701.76,4130.16,NA,NA,NA,3406205.55,3406205.55,NA,3532311.51,952377.71,234545.84,NA,288680.27,NA,NA,NA,NA,NA,NA
2019,"Paripiranga","BA","Sociedade de economia mista com administracao publica",21570,NA,9949,1358.28,681.7,2990.18,NA,NA,NA,3262829.41,3262829.41,NA,3313357.76,981733.41,0,NA,0,NA,NA,NA,NA,NA,NA
2020,"Potiraguá","BA","Sociedade de economia mista com administracao publica",6088,NA,4656,506.23,339.45,305.95,NA,NA,NA,1816211.59,1816211.59,NA,1709218.71,106028.98,358769.16,NA,382135.28,NA,NA,NA,NA,NA,NA
2018,"Terra Nova","BA","Sociedade de economia mista com administracao publica",8463,NA,11633,91.14,291.72,323,NA,NA,NA,1411472.61,1411472.61,NA,1426256.26,126720.69,0,NA,0,NA,NA,NA,0,NA,0
2011,"Ibicuí","BA","Sociedade de economia mista com administracao publica",10866,NA,11998,481.46,492.62,186.52,NA,NA,NA,1068786,1068786,NA,1106348,43945,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Itiruçu","BA","Sociedade de economia mista com administracao publica",9670,NA,9486,421.28,390.26,271.36,NA,NA,NA,663724,663724,NA,742773,91343,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Demerval Lobão","PI","Sociedade de economia mista com administracao publica",10262,NA,10923,866.2,484.41,498.68,NA,NA,NA,1130856.67,1130856.67,NA,922429.8,196752.52,0,NA,0,NA,NA,NA,NA,NA,NA
2011,"Floriano","PI","Sociedade de economia mista com administracao publica",47605,NA,50176,4758.66,2827.11,3393.67,NA,NA,NA,7145792.29,7145792.29,NA,7665374.87,1083534.17,643991.48,NA,654236.21,NA,NA,NA,NA,NA,NA
2012,"Aurelino Leal","BA","Sociedade de economia mista com administracao publica",11421,NA,10976,456.25,474.4,58.73,NA,NA,NA,919976.23,919976.23,NA,1003701.07,23305.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Boninal","BA","Sociedade de economia mista com administracao publica",5619,NA,4906,211.66,221.2,94.27,NA,NA,NA,695682.63,695682.63,NA,734417.15,27576.96,1028.88,NA,2789.54,NA,NA,NA,0,NA,0
2014,"Boninal","BA","Sociedade de economia mista com administracao publica",5568,NA,4874,213.33,218.08,104.78,NA,NA,NA,656293.57,656293.57,NA,679806.08,21567.38,13164.67,NA,14644.5,NA,NA,NA,NA,NA,NA
2014,"Bonito","BA","Sociedade de economia mista com administracao publica",7038,NA,7029,213.74,259.5,246.41,NA,NA,NA,633248.5,633248.5,NA,662858.72,51892.51,17092.83,NA,19014.22,NA,NA,NA,NA,NA,NA
2015,"Brejões","BA","Sociedade de economia mista com administracao publica",13803,NA,5259,577.58,558.77,744.7,NA,NA,NA,1430192.51,1430192.51,NA,1271381.63,305692.97,267.27,NA,724.64,NA,NA,NA,0,NA,0
2013,"Caculé","BA","Sociedade de economia mista com administracao publica",18773,NA,13905,2013.43,853.65,445.55,NA,NA,NA,2233235.92,2233235.92,NA,2308903.58,87007.62,11375.94,NA,36277.27,NA,NA,NA,NA,NA,NA
2014,"Candeal","BA","Sociedade de economia mista com administracao publica",4742,NA,3546,227.02,211.16,165.06,NA,NA,NA,492351.42,492351.42,NA,456397.15,53746.54,76596.62,NA,134146.88,NA,NA,NA,NA,NA,NA
2015,"Canudos","BA","Sociedade de economia mista com administracao publica",11000,NA,9497,535.83,471.77,445.91,NA,NA,NA,1336590.83,1336590.83,NA,1443150,141548.99,33982.13,NA,92133.64,NA,NA,NA,0,NA,0
2016,"Central","BA","Sociedade de economia mista com administracao publica",14794,NA,8599,762.67,710.42,2174.46,NA,NA,NA,2099827.91,2099827.91,NA,2063148.4,532244.6,397178.78,NA,971138.49,NA,NA,NA,0,NA,0
