"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2011,"2922250","Muquém de São Francisco","BA","Sociedade de economia mista com administracao publica",2599,NA,1293,105.09,106.11,317.66,NA,NA,NA,235855,235855,NA,242903,229104,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"2924058","Pé de Serra","BA","Sociedade de economia mista com administracao publica",8203,NA,5178,358.25,340.63,246.5,NA,NA,NA,434188.64,434188.64,NA,410565.84,50030.25,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2924108","Pedrão","BA","Sociedade de economia mista com administracao publica",1575,NA,1616,81.53,62.99,133.23,NA,NA,NA,91588.2,91588.2,NA,102989.7,28044.31,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2924652","Pintadas","BA","Sociedade de economia mista com administracao publica",6326,NA,5840,254.4,248.33,6.93,NA,NA,NA,419168,419168,NA,457468,84700,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2925956","Rafael Jambeiro","BA","Sociedade de economia mista com administracao publica",9857,NA,6850,417.04,419.72,406.49,NA,NA,NA,760095,760095,NA,764241,153428,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2928307","Santanópolis","BA","Sociedade de economia mista com administracao publica",4639,NA,1690,286.44,182.13,0,NA,NA,NA,348134,348134,NA,408369,102150,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2929107","São Felipe","BA","Sociedade de economia mista com administracao publica",8718,NA,9820,382.18,405.99,491.16,NA,NA,NA,743730,743730,NA,797681,37974,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"2929503","São Sebastião do Passé","BA","Sociedade de economia mista com administracao publica",26805,NA,33112,1341.95,1251,1419.93,NA,NA,NA,2449758,2449758,NA,2705374,502360,117000,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2931053","Tanque Novo","BA","Sociedade de economia mista com administracao publica",10267,NA,7362,484.08,411.56,53.06,NA,NA,NA,816976,816976,NA,857961,22132,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"2932804","Utinga","BA","Sociedade de economia mista com administracao publica",14398,NA,12880,441.13,577.15,409.58,NA,NA,NA,1092470,1092470,NA,1309774,56715,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"2100873","Araguanã","MA","Sociedade de economia mista com administracao publica",3645,NA,4586,147,45,70,NA,NA,NA,48134.69,48134.69,NA,39548.64,42188,0,0,0,NA,NA,NA,NA,NA,NA
2009,"2101301","Bacuri","MA","Sociedade de economia mista com administracao publica",2499,NA,8077,278,123,428.8,NA,NA,NA,823.45,823.45,NA,15597.3,162647.27,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2101707","Barreirinhas","MA","Sociedade de economia mista com administracao publica",17015,NA,18024,1857,514,1002,NA,NA,NA,637179.95,637179.95,NA,620972.6,293139,500090,0,500090,NA,NA,NA,NA,NA,NA
2010,"2102325","Buriticupu","MA","Sociedade de economia mista com administracao publica",7370,NA,35789,2243.27,313.93,1816.12,NA,NA,NA,415155.25,415155.25,NA,340944.37,260526.58,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2104107","Fortaleza dos Nogueiras","MA","Sociedade de economia mista com administracao publica",1916,NA,7019,191.14,88.35,153.95,NA,NA,NA,123038.98,123038.98,NA,120379.74,57413.45,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2104305","Godofredo Viana","MA","Sociedade de economia mista com administracao publica",2607,NA,6723,292.6,100.12,146.8,NA,NA,NA,121355.88,121355.88,NA,128328.45,58116.68,0,0,0,NA,NA,NA,NA,NA,NA
2009,"2104909","Guimarães","MA","Sociedade de economia mista com administracao publica",6602,NA,5269,602,269.97,276.91,NA,NA,NA,316211.15,316211.15,NA,412697.5,105032.43,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2107506","Paço do Lumiar","MA","Sociedade de economia mista com administracao publica",43377,NA,78811,76.55,56.91,79.71,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2009,"2109759","Santa Filomena do Maranhão","MA","Sociedade de economia mista com administracao publica",1592,NA,2001,135,60.82,170.52,NA,NA,NA,54700.45,54700.45,NA,75076.48,64679.9,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2110302","Santo Antônio dos Lopes","MA","Sociedade de economia mista com administracao publica",5718,NA,5732,937.08,252.08,540.47,NA,NA,NA,315554.97,315554.97,NA,277495.04,141777.49,14199.97,0,14199.97,NA,NA,NA,NA,NA,NA
2009,"2110500","São Bento","MA","Sociedade de economia mista com administracao publica",13768,NA,22772,1350,550.92,727.63,NA,NA,NA,740169.29,740169.29,NA,736998.86,275993.9,103168.62,0,103168.62,NA,NA,NA,NA,NA,NA
2007,"2111904","Sucupira do Norte","MA","Sociedade de economia mista com administracao publica",6224,NA,4678,334,115,205,NA,NA,NA,NA,NA,NA,15064.33,80572,0,0,26137,NA,NA,NA,NA,NA,NA
2009,"2112605","Urbano Santos","MA","Sociedade de economia mista com administracao publica",6073,NA,15217,515,220,361.71,NA,NA,NA,122522.25,122522.25,NA,69511.09,137197.71,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2206803","Nossa Senhora dos Remédios","PI","Sociedade de economia mista com administracao publica",2039,NA,3728,113.9,90.14,88.1,NA,NA,NA,253143.95,253143.95,NA,183061.9,41627.74,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2207959","Nova Santa Rita","PI","Sociedade de economia mista com administracao publica",649,NA,708,125.32,38.73,5.97,NA,NA,NA,105954.35,105954.35,NA,99497.53,3961.24,0,0,0,NA,NA,NA,NA,NA,NA
2011,"2210805","Simplício Mendes","PI","Sociedade de economia mista com administracao publica",6684,NA,7216,594.23,344.59,423.27,NA,NA,NA,833681.62,833681.62,NA,901400.96,161360.92,0,0,0,NA,NA,NA,NA,NA,NA
2015,"2902203","Aramari","BA","Sociedade de economia mista com administracao publica",6256,NA,5778,294.88,254.2,346.62,NA,NA,NA,706633.06,706633.06,NA,699218.21,92864.2,63059.37,71309.63,170968.96,NA,NA,NA,0,0,0
2013,"2904308","Brejões","BA","Sociedade de economia mista com administracao publica",13848,NA,5139,589.6,510.59,840.97,NA,NA,NA,1216589.9,1216589.9,NA,1066148.03,227774.89,3290.54,0,22267.99,NA,NA,NA,NA,NA,NA
2013,"2906808","Cansanção","BA","Sociedade de economia mista com administracao publica",24834,NA,11731,1199.08,1003.12,3016.87,NA,NA,NA,2396429.18,2396429.18,NA,2438109.32,366017.57,55892.39,0,84779.44,NA,NA,NA,NA,NA,NA
2016,"2907806","Cícero Dantas","BA","Sociedade de economia mista com administracao publica",24031,NA,18978,708.72,1209.3,993.62,NA,NA,NA,3784784.45,3784784.45,NA,3405616.62,1311247.86,82010.17,53938.23,173006.52,NA,NA,NA,0,0,0
2014,"2908705","Condeúba","BA","Sociedade de economia mista com administracao publica",9120,NA,8086,368.76,416.03,481.11,NA,NA,NA,1177864.81,1177864.81,NA,1244137.16,102845.2,24658.53,0,27430.37,NA,NA,NA,NA,NA,NA
2015,"2908903","Coração de Maria","BA","Sociedade de economia mista com administracao publica",10209,NA,9713,174.13,393.69,532.35,NA,NA,NA,949356.26,949356.26,NA,964694.39,147231.74,962.23,1088.12,2608.83,NA,NA,NA,0,0,0
2014,"2909406","Cotegipe","BA","Sociedade de economia mista com administracao publica",7713,NA,7019,351.37,369.03,627.05,NA,NA,NA,914038.92,914038.92,NA,935943.04,168014.58,23562.49,0,26211.13,NA,NA,NA,NA,NA,NA
2015,"2910305","Elísio Medrado","BA","Sociedade de economia mista com administracao publica",3751,NA,3447,145.52,189.32,338.84,NA,NA,NA,534239.53,534239.53,NA,553302.92,92956.38,8397.84,9496.55,22768.53,NA,NA,NA,0,0,0
2013,"2911105","Formosa do Rio Preto","BA","Sociedade de economia mista com administracao publica",14853,NA,15023,689.21,622.2,298.15,NA,NA,NA,1758762.9,1758762.9,NA,1768698.87,71651.08,4185.92,0,21354.26,NA,NA,NA,NA,NA,NA
2012,"2913101","Ibititá","BA","Sociedade de economia mista com administracao publica",17763,NA,8302,765.47,772.51,2034.86,NA,NA,NA,1518911.07,1518911.07,NA,1522903.37,49858.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"2916807","Itarantim","BA","Sociedade de economia mista com administracao publica",16038,NA,16373,876.03,757.77,34.58,NA,NA,NA,2286440.26,2286440.26,NA,2155571.86,9173.17,7489.05,0,28489.98,NA,NA,NA,NA,NA,NA
2012,"2917409","Jacaraci","BA","Sociedade de economia mista com administracao publica",4118,NA,5229,178.37,165.23,111.95,NA,NA,NA,379624.57,379624.57,NA,367569.17,43062.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"2918357","João Dourado","BA","Sociedade de economia mista com administracao publica",22099,NA,15303,1053.92,981.72,3025.11,NA,NA,NA,2977065.22,2977065.22,NA,2965915.67,736392.9,19679.75,7414.85,33537.13,NA,NA,NA,0,0,0
2015,"2919009","Lajedinho","BA","Sociedade de economia mista com administracao publica",2595,NA,1257,158.85,111.14,408.44,NA,NA,NA,223505.58,223505.58,NA,259084.56,132588.47,4300.34,4862.97,11659.25,NA,NA,NA,0,0,0
2016,"2920304","Malhada de Pedras","BA","Sociedade de economia mista com administracao publica",3806,NA,3389,0,182.83,11.53,NA,NA,NA,620667.59,620667.59,NA,544609.8,4613.69,271.92,249.34,675.38,NA,NA,NA,0,0,0
2014,"2921401","Mirangaba","BA","Sociedade de economia mista com administracao publica",3349,NA,8654,114.06,141.94,312.87,NA,NA,NA,379487.53,379487.53,NA,408198.3,63051.94,485215.76,0,539758.38,NA,NA,NA,NA,NA,NA
2015,"2922052","Mulungu do Morro","BA","Sociedade de economia mista com administracao publica",7095,NA,5895,256.53,282.52,1005.96,NA,NA,NA,673141.74,673141.74,NA,756131.18,294421.88,65469.64,74035.24,189912.23,NA,NA,NA,89984,0,89984
2014,"2922805","Nova Itarana","BA","Sociedade de economia mista com administracao publica",4362,NA,2991,204.85,190.03,371.34,NA,NA,NA,410249.07,410249.07,NA,393256.78,126985.31,10794.32,0,12007.7,NA,NA,NA,NA,NA,NA
2013,"2923001","Nova Viçosa","BA","Sociedade de economia mista com administracao publica",13644,NA,36751,888.72,964.27,1072.37,NA,NA,NA,2340222.98,2340222.98,NA,2472433.51,211031.42,41606.85,0,86361.01,NA,NA,NA,NA,NA,NA
2013,"2923100","Olindina","BA","Sociedade de economia mista com administracao publica",14578,NA,13632,635.33,649.73,418.09,NA,NA,NA,1667203.42,1667203.42,NA,1747169.71,96600.38,42221,0,62956.08,NA,NA,NA,NA,NA,NA
2014,"2925402","Potiraguá","BA","Sociedade de economia mista com administracao publica",7941,NA,6236,485.75,390.36,291.89,NA,NA,NA,1038101.72,1038101.72,NA,978987.82,63505.07,26578.16,0,29565.78,NA,NA,NA,NA,NA,NA
2015,"2926103","Retirolândia","BA","Sociedade de economia mista com administracao publica",10117,NA,7427,0,441.74,577.42,NA,NA,NA,1121399.88,1121399.88,NA,1150826.1,501177.21,0,100,113.79,NA,NA,NA,0,0,0
2013,"2926202","Riachão das Neves","BA","Sociedade de economia mista com administracao publica",7401,NA,11367,323.02,358.15,445.16,NA,NA,NA,1062040.85,1062040.85,NA,1061277.84,77282.68,26058.04,0,36644.08,NA,NA,NA,NA,NA,NA
2014,"2926905","Rio do Pires","BA","Sociedade de economia mista com administracao publica",6358,NA,5330,260.98,272,330.73,NA,NA,NA,660956.57,660956.57,NA,714530.27,99441.17,18219.36,0,20267.38,NA,NA,NA,NA,NA,NA
2015,"2929701","Sátiro Dias","BA","Sociedade de economia mista com administracao publica",8199,NA,4642,304.1,346.81,405.44,NA,NA,NA,945730.2,945730.2,NA,985050.8,115999.53,1047309.37,362263.18,1719140.41,NA,NA,NA,169619.5,0,169619.5
2012,"2931301","Tapiramutá","BA","Sociedade de economia mista com administracao publica",13489,NA,12721,318.01,452.21,331.58,NA,NA,NA,922605.2,922605.2,NA,944544.84,70197.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"2931806","Tremedal","BA","Sociedade de economia mista com administracao publica",4694,NA,4293,229.86,220.79,189.25,NA,NA,NA,625141.88,625141.88,NA,535328.57,56314.61,6088.29,0,11947.28,NA,NA,NA,NA,NA,NA
2016,"2932002","Uauá","BA","Sociedade de economia mista com administracao publica",15155,NA,11452,956.32,1554.65,924.56,NA,NA,NA,2254691.96,2254691.96,NA,2346635.04,271260.33,12037.22,1588.2,16259.89,NA,NA,NA,0,0,0
2014,"2932309","Ubatã","BA","Sociedade de economia mista com administracao publica",21266,NA,19231,756.61,899.94,297.63,NA,NA,NA,2572508.92,2572508.92,NA,2844072.25,67311.9,65139.07,0,72461.29,NA,NA,NA,NA,NA,NA
2012,"2932408","Uibaí","BA","Sociedade de economia mista com administracao publica",13642,NA,8321,637.49,645.17,1619.15,NA,NA,NA,1267376.87,1267376.87,NA,1284012.15,3882.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"2933059","Várzea da Roça","BA","Sociedade de economia mista com administracao publica",12500,NA,6907,418.97,547.58,484.51,NA,NA,NA,1355598.96,1355598.96,NA,1423257.3,101900.89,33849.94,0,37654.98,NA,NA,NA,NA,NA,NA
2015,"2933109","Várzea do Poço","BA","Sociedade de economia mista com administracao publica",7435,NA,6294,295.38,332.69,407.02,NA,NA,NA,819171.03,819171.03,NA,842695.16,851.58,1065.14,1204.5,2887.86,NA,NA,NA,0,0,0
2014,"2200053","Acauã","PI","Sociedade de economia mista com administracao publica",909,NA,923,75.92,59.05,22.93,NA,NA,NA,153932.87,153932.87,NA,164045.09,10132.54,0,0,0,NA,NA,NA,0,0,0
2015,"2206100","Matias Olímpio","PI","Sociedade de economia mista com administracao publica",6818,NA,4908,397.76,265.98,418.03,NA,NA,NA,646049.25,646049.25,NA,680275.29,246119.63,0,0,0,NA,NA,NA,0,0,0
2014,"2208809","Regeneração","PI","Sociedade de economia mista com administracao publica",12089,NA,13915,904.76,521.61,744.28,NA,NA,NA,1336608.18,1336608.18,NA,1280981.48,208802.35,0,0,0,NA,NA,NA,0,0,0
2015,"2209500","Santo Inácio do Piauí","PI","Sociedade de economia mista com administracao publica",3037,NA,2342,181.37,144.61,108.33,NA,NA,NA,385601.69,385601.69,NA,416134.96,70173.61,0,0,0,NA,NA,NA,0,0,0
2015,"2210409","São Miguel do Tapuio","PI","Sociedade de economia mista com administracao publica",6854,NA,6664,334.01,302.66,133.17,NA,NA,NA,823763.74,823763.74,NA,701491.03,70608.52,0,0,0,NA,NA,NA,0,0,0
2002,"2900207","Abaré","BA","Sociedade de economia mista com administracao publica",NA,NA,5716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2905404","Cairu","BA","Sociedade de economia mista com administracao publica",NA,NA,6263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2905602","Camacan","BA","Sociedade de economia mista com administracao publica",NA,NA,22844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2906303","Canavieiras","BA","Sociedade de economia mista com administracao publica",NA,NA,27225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2908705","Condeúba","BA","Sociedade de economia mista com administracao publica",NA,NA,6342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2910909","Firmino Alves","BA","Sociedade de economia mista com administracao publica",NA,NA,3643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2912400","Ibipeba","BA","Sociedade de economia mista com administracao publica",NA,NA,8492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2914406","Iraquara","BA","Sociedade de economia mista com administracao publica",NA,NA,5449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2917334","Iuiú","BA","Sociedade de economia mista com administracao publica",NA,NA,4539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2918506","Jussara","BA","Sociedade de economia mista com administracao publica",NA,NA,10046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2918704","Lafaiete Coutinho","BA","Sociedade de economia mista com administracao publica",NA,NA,1820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2920809","Marcionílio Souza","BA","Sociedade de economia mista com administracao publica",NA,NA,4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2922102","Mundo Novo","BA","Sociedade de economia mista com administracao publica",NA,NA,10074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2922250","Muquém de São Francisco","BA","Sociedade de economia mista com administracao publica",NA,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2922854","Nova Redenção","BA","Sociedade de economia mista com administracao publica",NA,NA,4043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2923001","Nova Viçosa","BA","Sociedade de economia mista com administracao publica",NA,NA,27200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2923050","Novo Triunfo","BA","Sociedade de economia mista com administracao publica",NA,NA,5856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2924504","Pindaí","BA","Sociedade de economia mista com administracao publica",NA,NA,3578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2926103","Retirolândia","BA","Sociedade de economia mista com administracao publica",NA,NA,5345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2929354","São José da Vitória","BA","Sociedade de economia mista com administracao publica",NA,NA,4707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2930402","Serra Preta","BA","Sociedade de economia mista com administracao publica",NA,NA,5699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2931400","Teodoro Sampaio","BA","Sociedade de economia mista com administracao publica",NA,NA,6292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2104404","Gonçalves Dias","MA","Sociedade de economia mista com administracao publica",NA,NA,7562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2106607","Matões","MA","Sociedade de economia mista com administracao publica",NA,NA,9563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2107605","Palmeirândia","MA","Sociedade de economia mista com administracao publica",NA,NA,3274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2112209","Timon","MA","Autarquia",122365,NA,119042,28156,6810.9,7892.9,NA,NA,NA,4714199.87,4714199.87,NA,3748053.19,601653,61156.56,0,61156.56,NA,NA,NA,NA,NA,NA
2005,"2204659","Ilha Grande","PI","Sociedade de economia mista com administracao publica",NA,NA,7040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2206704","Nazaré do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,3324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2207207","Padre Marcos","PI","Sociedade de economia mista com administracao publica",NA,NA,2673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"2207553","Paquetá","PI","Sociedade de economia mista com administracao publica",NA,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"2208858","Riacho Frio","PI","Sociedade de economia mista com administracao publica",NA,NA,1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2209856","São João da Canabrava","PI","Sociedade de economia mista com administracao publica",NA,NA,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2210508","São Pedro do Piauí","PI","Sociedade de economia mista com administracao publica",NA,NA,7391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2901809","Antônio Gonçalves","BA","Sociedade de economia mista com administracao publica",NA,NA,5260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2905404","Cairu","BA","Sociedade de economia mista com administracao publica",NA,NA,6685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2905602","Camacan","BA","Sociedade de economia mista com administracao publica",NA,NA,24282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2905800","Camamu","BA","Sociedade de economia mista com administracao publica",NA,NA,12107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2908705","Condeúba","BA","Sociedade de economia mista com administracao publica",NA,NA,6331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2909505","Cravolândia","BA","Sociedade de economia mista com administracao publica",NA,NA,2890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2909703","Cristópolis","BA","Sociedade de economia mista com administracao publica",NA,NA,2663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2913507","Iguaí","BA","Sociedade de economia mista com administracao publica",NA,NA,10180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2913804","Ipecaetá","BA","Sociedade de economia mista com administracao publica",NA,NA,1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2915205","Itagibá","BA","Sociedade de economia mista com administracao publica",NA,NA,8767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2917201","Ituaçu","BA","Sociedade de economia mista com administracao publica",NA,NA,4429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2917607","Jaguaquara","BA","Sociedade de economia mista com administracao publica",30856,NA,31158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234492.57,0,NA,NA,NA,NA,NA,NA,NA
1999,"2920502","Maracás","BA","Sociedade de economia mista com administracao publica",NA,NA,17678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2921005","Mata de São João","BA","Sociedade de economia mista com administracao publica",NA,NA,24969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2921708","Morro do Chapéu","BA","Sociedade de economia mista com administracao publica",NA,NA,19973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2922250","Muquém de São Francisco","BA","Sociedade de economia mista com administracao publica",NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"2922607","Nilo Peçanha","BA","Sociedade de economia mista com administracao publica",NA,NA,2495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2923803","Paripiranga","BA","Sociedade de economia mista com administracao publica",NA,NA,6427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2925758","Presidente Tancredo Neves","BA","Sociedade de economia mista com administracao publica",5923,NA,6242,238.1,203.1,NA,NA,NA,NA,182428,182428,NA,169711.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2926806","Rio do Antônio","BA","Sociedade de economia mista com administracao publica",NA,NA,5163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2102507","Cajari","MA","Sociedade de economia mista com administracao publica",NA,NA,3280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2104404","Gonçalves Dias","MA","Sociedade de economia mista com administracao publica",NA,NA,7266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2104552","Governador Edison Lobão","MA","Sociedade de economia mista com administracao publica",NA,NA,2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2104701","Graça Aranha","MA","Sociedade de economia mista com administracao publica",NA,NA,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"2106003","Lima Campos","MA","Sociedade de economia mista com administracao publica",NA,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2106706","Mirador","MA","Sociedade de economia mista com administracao publica",NA,NA,6184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"2107001","Montes Altos","MA","Sociedade de economia mista com administracao publica",NA,NA,4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"2107407","Olho d'Água das Cunhãs","MA","Sociedade de economia mista com administracao publica",NA,NA,9331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
