"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2008,"2203206","Curimatá","PI","Sociedade de economia mista com administracao publica",6024,NA,6151,840,285.42,272.38,NA,NA,NA,514264.44,514264.44,0,498929.79,128635.6,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2206803","Nossa Senhora dos Remédios","PI","Sociedade de economia mista com administracao publica",1439,NA,2978,188,76,102.02,NA,NA,NA,79926.62,79926.62,0,78531.78,47435.38,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2209302","Santa Luz","PI","Sociedade de economia mista com administracao publica",2944,NA,3013,235,100.29,102.82,NA,NA,NA,174320.49,174320.49,0,186934.95,48353.46,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2209708","São Francisco do Piauí","PI","Sociedade de economia mista com administracao publica",1636,NA,1739,223,80.11,52.23,NA,NA,NA,147412.26,147412.26,0,138518.31,26018.2,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2211704","Wall Ferraz","PI","Sociedade de economia mista com administracao publica",1204,NA,1227,148,58.21,62.71,NA,NA,NA,98345.79,98345.79,0,101906.64,13736.74,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2904050","Bonito","BA","Sociedade de economia mista com administracao publica",5668,0,6071,175.98,211.3,64.09,NA,NA,NA,242532.88,242532.88,0,259731.1,1393.91,7000,0,7000,NA,NA,NA,NA,NA,NA
2002,"2904407","Brejolândia","BA","Sociedade de economia mista com administracao publica",2007,NA,1722,104.9,89.7,NA,NA,NA,NA,86377.9,86377.9,0,77910.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2905008","Caculé","BA","Sociedade de economia mista com administracao publica",11955,0,11972,1725.1,633.2,1374,0,0,0,637748.71,637748.71,0,569905,NA,0,0,0,NA,NA,NA,NA,NA,NA
2002,"2909703","Cristópolis","BA","Sociedade de economia mista com administracao publica",2843,NA,2675,106.6,109.4,NA,NA,NA,NA,96546.27,96546.27,0,94016.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"2911402","Glória","BA","Sociedade de economia mista com administracao publica",2507,0,2452,187.8,127.9,128,0,0,0,140238.4,140238.4,0,145829,NA,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2912806","Ibirapuã","BA","Sociedade de economia mista com administracao publica",3652,0,3130,211.44,211.49,172.15,NA,NA,NA,303501.08,303501.08,0,293378.71,33758.73,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2914000","Ipirá","BA","Sociedade de economia mista com administracao publica",26559,0,23212,1003.3,728.6,1876,0,0,0,1316773.94,1316773.94,0,1232386,NA,326860,0,326860,NA,NA,NA,NA,NA,NA
2005,"2917607","Jaguaquara","BA","Sociedade de economia mista com administracao publica",40019,NA,38523,1589.08,1517.09,2434.71,NA,NA,NA,1742596.62,1742596.62,0,1967409.71,366548.37,0,340000,340000,NA,NA,NA,NA,NA,NA
2005,"2918506","Jussara","BA","Sociedade de economia mista com administracao publica",6928,NA,10404,424.94,376.99,67.2,NA,NA,NA,405581.1,405581.1,0,386958.57,139702.03,0,0,0,NA,NA,NA,NA,NA,NA
2005,"2919926","Madre de Deus","BA","Sociedade de economia mista com administracao publica",13419,6777,13321,1415,914.11,1794,136,189.1,206.6,1926242.91,1926242.91,0,2151324.96,25132.76,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2920908","Mascote","BA","Sociedade de economia mista com administracao publica",12470,0,9637,454.88,466.7,379.19,NA,NA,NA,560259.11,560259.11,0,568218.18,99323.04,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2922854","Nova Redenção","BA","Sociedade de economia mista com administracao publica",4908,0,3848,189.3,206.43,606.53,NA,NA,NA,230659.85,230659.85,0,234408.33,115646.21,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2925808","Queimadas","BA","Sociedade de economia mista com administracao publica",9848,0,10208,554.91,484.94,949.42,NA,NA,NA,632134.37,632134.37,0,599660.16,251639.25,0,0,0,NA,NA,NA,NA,NA,NA
2002,"2927002","Rio Real","BA","Sociedade de economia mista com administracao publica",22061,NA,20737,874.6,727.7,NA,NA,NA,NA,596330.37,596330.37,0,566205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"2928901","São Desidério","BA","Sociedade de economia mista com administracao publica",6847,0,7135,330.7,303.99,164.85,NA,NA,NA,397220.97,397220.97,0,364218.13,NA,0,0,0,NA,NA,NA,NA,NA,NA
2005,"2929206","São Francisco do Conde","BA","Sociedade de economia mista com administracao publica",18300,694,25021,2018,1050.51,2469,107,197.9,198.8,1525212.04,1525212.04,0,1704056.74,79068.59,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2933505","Wenceslau Guimarães","BA","Sociedade de economia mista com administracao publica",7712,0,8316,319.23,227.32,272.81,NA,NA,NA,273219.45,273219.45,0,293298.53,120423.46,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2100105","Afonso Cunha","MA","Sociedade de economia mista com administracao publica",734,0,2270,71,30,30,0,0,0,31362,31362,0,21717,7456,0,0,3497,NA,NA,NA,NA,NA,NA
2005,"2100303","Aldeias Altas","MA","Sociedade de economia mista com administracao publica",7668,0,7205,392.52,166.3,236,0,0,0,NA,19718.89,0,155916.66,121460.88,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2101939","Bernardo do Mearim","MA","Sociedade de economia mista com administracao publica",2276,0,1784,219.17,44.1,55.58,0,0,0,52358.6,52358.6,0,46829.87,21531.41,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2102325","Buriticupu","MA","Sociedade de economia mista com administracao publica",9389,0,33796,1870.36,338.69,1567.17,0,0,0,402057.38,402057.38,0,359602.73,579399.57,111006.67,0,307445.09,NA,NA,NA,NA,NA,NA
2006,"2102606","Cândido Mendes","MA","Sociedade de economia mista com administracao publica",4031,0,11417,310.48,74.31,98.13,0,0,0,88213.21,88213.21,0,78898.47,40598.53,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2102705","Cantanhede","MA","Sociedade de economia mista com administracao publica",10057,0,8584,1918.2,271.08,1561.05,0,0,0,321796.42,321796.42,0,287816.81,496690.63,0,0,0,NA,NA,NA,NA,NA,NA
2002,"2102705","Cantanhede","MA","Sociedade de economia mista com administracao publica",8350,NA,8503,1360.8,215,NA,NA,NA,NA,151308,151308,0,134665,52077,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2104008","Esperantinópolis","MA","Sociedade de economia mista com administracao publica",8465,0,10069,1161,314,297,0,0,0,240636,240636,0,210183,121928,52799,0,73068,NA,NA,NA,NA,NA,NA
2003,"2105401","Itapecuru Mirim","MA","Sociedade de economia mista com administracao publica",24759,0,32776,2793,1094,1102,0,0,0,827554,827554,0,718377,293321,1937887,0,2011950,NA,NA,NA,NA,NA,NA
2004,"2108108","Paulo Ramos","MA","Sociedade de economia mista com administracao publica",5625,0,8566,184,82.8,NA,NA,NA,NA,90327.97,90327.97,0,65200.41,112065.94,0,0,0,NA,NA,NA,NA,NA,NA
2004,"2109502","Riachão","MA","Sociedade de economia mista com administracao publica",12668,0,9799,684,356.4,107,NA,NA,NA,441873.59,441873.59,0,340489.05,55583.13,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2110658","São Domingos do Azeitão","MA","Sociedade de economia mista com administracao publica",2928,0,5000,86.1,64.94,96.84,0,0,0,77096.19,77096.19,0,68955.33,39947.15,0,0,0,NA,NA,NA,NA,NA,NA
2005,"2200103","Agricolândia","PI","Sociedade de economia mista com administracao publica",3741,0,3867,324,123,436,0,0,0,172038.1,172038.1,0,161454.85,127877.69,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2201150","Baixa Grande do Ribeiro","PI","Sociedade de economia mista com administracao publica",3604,0,3889,850,122,NA,0,0,0,137276,137276,0,116833,17764,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2203206","Curimatá","PI","Sociedade de economia mista com administracao publica",7036,0,5874,536,250,179,NA,NA,NA,384031.69,384031.69,0,343464.65,74767.56,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2203206","Curimatá","PI","Sociedade de economia mista com administracao publica",5610,0,5519,490,269,NA,0,0,0,318798,318798,0,285795,35832,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2203404","Dom Expedito Lopes","PI","Sociedade de economia mista com administracao publica",3287,0,3706,130,136,157,NA,NA,NA,221680.01,221680.01,0,218058.61,73602.37,0,0,0,NA,NA,NA,NA,NA,NA
2003,"2204709","Inhuma","PI","Sociedade de economia mista com administracao publica",6472,0,6791,734,297,NA,0,0,0,354547,354547,0,362450,45161,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2205003","Itainópolis","PI","Sociedade de economia mista com administracao publica",2373,0,2510,370,130,113,NA,NA,NA,206082.9,206082.9,0,207588.16,48170.13,24172.4,0,24172.4,NA,NA,NA,NA,NA,NA
2003,"2205151","Jacobina do Piauí","PI","Sociedade de economia mista com administracao publica",708,0,854,0,51,NA,0,0,0,55883,55883,0,48728,9826,0,0,0,NA,NA,NA,NA,NA,NA
2005,"2207504","Palmeirais","PI","Sociedade de economia mista com administracao publica",29859,0,4587,317,189,125,0,0,0,283660.26,283660.26,0,271250.64,56298.61,0,0,0,NA,NA,NA,NA,NA,NA
2006,"2209708","São Francisco do Piauí","PI","Sociedade de economia mista com administracao publica",1982,0,1721,111,72,19,NA,NA,NA,119676.9,119676.9,0,110691.85,8502.35,39220.47,0,43151.24,NA,NA,NA,NA,NA,NA
2003,"2210706","Simões","PI","Sociedade de economia mista com administracao publica",4728,0,4555,864,106,NA,0,0,0,101412,101412,0,108941,5972,0,0,0,NA,NA,NA,NA,NA,NA
1998,"2102804","Carolina","MA","Autarquia",16215,750,13400,1315.71,1041.91,NA,NA,0,0,427871.69,427871.69,0,428901.74,54851.36,18605.92,0,18605.92,NA,NA,NA,NA,NA,NA
2001,"2108702","Pio XII","MA","Sociedade de economia mista com administracao publica",12859,NA,11302,821,288,NA,NA,NA,NA,174072,174072,0,153183,49260,7772,0,7772,NA,NA,NA,NA,NA,NA
1998,"2112209","Timon","MA","Autarquia",96424,0,105014,13635,6000,NA,NA,0,0,1880955.33,1880955.33,0,1986152,31980.64,136576.58,0,151008.78,NA,NA,NA,NA,NA,NA
2019,"2112506","Tutóia","MA","Sociedade de economia mista com administracao publica",6855,1218,20829,101.2,37.13,381.83,3.78,0,13.08,163914.78,124561.89,39352.89,62611.36,190673.13,6479.92,0,6479.92,0,0,0,0,0,0
2019,"2201804","Bocaina","PI","Sociedade de economia mista com administracao publica",2465,528,1798,186.9,116.01,112.06,1.25,7.81,5.29,432837.09,418421.77,14415.32,471804.01,101046.49,0,0,82.66,0,0,0,0,0,0
2018,"2204659","Ilha Grande","PI","Sociedade de economia mista com administracao publica",8651,5309,7846,600.85,345.78,582.14,0,92.07,0,952087.24,951948.44,138.8,1287225.77,401123.05,0,474193.33,475261.18,0,0,0,0,0,0
2021,"2208007","Picos","PI","Sociedade de economia mista com administracao publica",75408,40630,62447,11290.1,3914.9,5693.28,393.2,1605.06,1899,24014507.95,17333186.68,6681321.27,23327062.08,4811299.77,470000,0,828919.9,0,0,0,0,0,0
2021,"2208502","Porto","PI","Sociedade de economia mista com administracao publica",8610,5273,7975,475.18,381.19,390.13,170.71,182.58,215,2510682.2,1721198.96,789483.24,988438.25,539245.7,0,0,15208.53,0,0,0,0,0,0
2020,"2208502","Porto","PI","Sociedade de economia mista com administracao publica",8822,4826,7951,474.52,363.07,328.6,162.1,141.8,204.19,1535090.61,1108049.44,427041.17,639687.31,401402.58,0,0,7655.9,0,0,0,0,0,0
2009,"2902906","Barra do Choça","BA","Sociedade de economia mista com administracao publica",26367,632,20604,934.72,955.91,497.03,3.37,21.69,23.13,1510846.66,1491909.57,18937.09,1751332.62,123051.33,NA,NA,NA,0,0,0,0,0,0
2011,"2926004","Remanso","BA","Autarquia",17913,12027,23595,1855,1052.39,825,101,624.12,624.12,2016328.22,1429397.2,586931.02,2016328.22,211028.19,41495.63,0,41495.63,0,0,0,0,0,0
2010,"2103307","Codó","MA","Autarquia",71028,12324,81045,9214,6169,2810,491,0,612,3800672.98,3505882.19,294790.79,4266178.65,1466229.9,75029.43,0,75029.43,0,0,0,0,0,0
2016,"2907103","Carinhanha","BA","Autarquia",30041,14852,13322,2035,1142,363,54,386,386.7,2263570,1883525,380045,2263570,218449,96674,0,96674,0,0,0,0,0,0
2015,"2109239","Presidente Médici","MA","Administracao publica direta",6280,100,4184,400,140,220,1,0,1,490,390,50,400,25000,NA,NA,NA,0,0,0,0,0,0
2016,"2202133","Campo Grande do Piauí","PI","Administracao publica direta",950,200,1634,60,20,0,20,0,0,45100,45000,100,90000,11000,NA,NA,NA,0,0,0,0,0,0
2022,"2922003","Mucuri","BA","Sociedade de economia mista com administracao publica",26948,13787,NA,913.82,774.89,577.93,95.35,596.82,431.67,6129943.93,4528127.15,1601816.78,6145558.29,491659.57,629915.08,346663.03,1020269.08,0,0,0,0,0,0
2022,"2926707","Rio de Contas","BA","Sociedade de economia mista com administracao publica",6286,3194,NA,513.75,274.53,338.55,0,123.46,134.3,2287900.41,1627589.74,660310.67,2102865.64,284326.4,114617.1,12580.89,138942.63,0,0,0,0,0,0
2022,"2926806","Rio do Antônio","BA","Sociedade de economia mista com administracao publica",7624,1352,NA,548.67,419.7,941.47,20.56,43.91,54.17,2378847.6,2071040.21,307807.39,2225471.58,508245.11,207562.04,47365.53,269394.02,0,0,0,0,0,0
2022,"2931350","Teixeira de Freitas","BA","Sociedade de economia mista com administracao publica",134624,85689,NA,6755.02,5020.77,5747.67,1644.1,3367.16,3152.19,43711132.03,29437942.51,14273189.52,43135475.88,3555169.71,3298946.76,3773261.85,7842280.9,0,0,0,0,0,0
2021,"2913606","Ilhéus","BA","Sociedade de economia mista com administracao publica",144825,97073,132864,10996.19,7038.68,5805.39,2781.56,4510.95,4640.39,63802737.21,43732767.56,20069969.65,59640916.44,4344583.13,3740113.01,9825204.21,15623907.53,0,0,0,0,0,0
2018,"2918407","Juazeiro","BA","Autarquia",207980,157843,174758,21511,9563.6,9470.49,70.24,5583,5461,33729395.13,23381246.96,10348148.17,39295418.45,1929436.55,122012.77,0,576120.84,0,0,0,0,0,0
2017,"2922706","Nova Canaã","BA","Administracao publica direta",NA,8654,7027,NA,NA,NA,456,57,0,1135320,NA,121560,1156341,1844.6,NA,NA,NA,0,0,0,NA,0,0
2021,"2932101","Ubaíra","BA","Sociedade de economia mista com administracao publica",8871,5130,8871,466.84,375.07,212.85,51.98,241.88,217.05,2642037.41,1835848.06,806189.35,2639161.45,163105.88,1738738.57,2505.65,1769822.93,0,0,0,0,0,0
2009,"2928703","Santo Antônio de Jesus","BA","Sociedade de economia mista com administracao publica",77748,6333,77238,4390.32,3727.53,3320.72,4,201.17,234.51,7234067.01,7086514.86,147552.15,7672227.72,533639.11,NA,110000,NA,0,0,0,0,0,0
2010,"2202901","Corrente","PI","Sociedade de economia mista com administracao publica",14481,1935,15693,250,157,907,124.61,0,41,1663385.74,1505762.03,157623.71,142553.23,284127.35,2350,2350,4700,0,0,0,0,0,0
2009,"2202901","Corrente","PI","Sociedade de economia mista com administracao publica",14075,1785,14600,1386,382,739.77,97.73,0,60,1403377.02,1266674.22,136702.8,1588709.47,242150.06,0,0,1470863.19,0,0,0,0,0,0
2015,"2918407","Juazeiro","BA","Autarquia",211971,134572,177309,21432,8928,NA,NA,4141,4061,25008126.53,18565610.84,6442515.69,29103290.5,3403669.04,2730019.93,0,3564132.94,0,0,0,0,0,0
2022,"2902708","Barra","BA","Autarquia",40000,23000,NA,5700,3800,NA,NA,3600,3000,4511011.39,3493637.12,1017374.27,5064957.99,572403.33,50567.31,0,1219296.32,0,0,0,NA,0,0
2022,"2906907","Caravelas","BA","Sociedade de economia mista com administracao publica",14104,5644,NA,666.09,612.47,337.97,87.2,197.86,244.02,4614810.78,3512142.72,1102668.06,4949729.95,255796.24,223644.38,92057.8,340204.31,0,0,0,0,0,0
2022,"2913200","Ibotirama","BA","Sociedade de economia mista com administracao publica",20842,17832,NA,1374.65,1028.95,449.57,99.84,701.44,824.61,9619905.92,5820848.43,3799057.49,9650509.5,305526.26,364201.32,526319.89,943533.59,0,0,0,0,0,0
2022,"2913606","Ilhéus","BA","Sociedade de economia mista com administracao publica",156204,103761,NA,11094.99,7001.78,5911.49,2256.25,4904.99,4944.24,73143265.75,49226778.64,23916487.11,66993468.02,5256089.94,6725534.29,8366023.87,16554100.5,0,0,0,0,0,0
