"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2006,"Mirante","BA","Sociedade de economia mista com administracao publica",NA,0,1657,NA,NA,NA,NA,NA,NA,100342.17,NA,0,104066.33,12571.33,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Nova Fátima","BA","Sociedade de economia mista com administracao publica",NA,0,3179,NA,NA,NA,NA,NA,NA,315051.94,NA,0,300758.53,6690.74,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Santana","BA","Sociedade de economia mista com administracao publica",NA,0,12412,NA,NA,NA,0,0,0,458641.38,NA,0,449386,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Valença","BA","Autarquia",NA,42052,58234,NA,NA,NA,0,0,0,3270571.78,NA,0,3287464.03,287431.45,NA,52584.51,107617.17,NA,NA,NA,NA,NA,NA
2005,"Buriticupu","MA","Sociedade de economia mista com administracao publica",NA,0,32611,NA,NA,NA,0,0,0,395528.34,NA,0,274669.45,557967.87,NA,0,105075.3,NA,NA,NA,NA,NA,NA
2004,"Cândido Mendes","MA","Sociedade de economia mista com administracao publica",NA,0,10725,NA,NA,NA,NA,NA,NA,63855.39,NA,0,35990.87,27217.24,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Conceição do Lago-Açu","MA","Sociedade de economia mista com administracao publica",NA,0,4611,NA,NA,NA,0,0,0,147486.56,NA,0,131912.94,59989.71,NA,0,5498.3,NA,NA,NA,NA,NA,NA
2006,"Magalhães de Almeida","MA","Sociedade de economia mista com administracao publica",NA,0,6823,NA,NA,NA,0,0,0,142195.74,NA,0,127180.79,70552.12,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Mata Roma","MA","Sociedade de economia mista com administracao publica",NA,0,5566,NA,NA,NA,0,0,0,153373.68,NA,0,184093.71,73114.57,NA,0,2158.73,NA,NA,NA,NA,NA,NA
2006,"Pirapemas","MA","Sociedade de economia mista com administracao publica",NA,0,7961,NA,NA,NA,0,0,0,202817.62,NA,0,181401.4,81858.68,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Santa Rita","MA","Sociedade de economia mista com administracao publica",NA,0,9154,NA,NA,NA,0,0,0,249363,NA,0,213054,97459,NA,0,82503,NA,NA,NA,NA,NA,NA
2005,"São Benedito do Rio Preto","MA","Sociedade de economia mista com administracao publica",NA,0,9657,NA,NA,NA,0,0,0,142927.42,NA,0,106986.21,82807.38,NA,0,0,NA,NA,NA,NA,NA,NA
